Aacute=00C1
Acirc=00C2
acute=00B4
aelig=00E6
Agrave=00C0
alefsym=2135
Alpha=0391
amp=0026
ang=2220
apos=0027
aring=00E5
asymp=2248
Atilde=00C3
Auml=00C4
bdquo=201E
beta=03B2
brvbar=00A6
bull=2022
ccedil=00E7
cedil=00B8
cent=00A2
chi=03C7
circ=02C6
clubs=2663
cong=2245
copy=00A9
crarr=21B5
curren=00A4
dagger=2020
deg=00B0
delta=03B4
diams=2666
divide=00F7
Eacute=00C9
Ecirc=00CA
Egrave=00C8
empty=2205
emsp=2003
ensp=2002
epsilon=03B5
equiv=2261
Eta=0397
eth=00F0
Euml=00CB
euro=20AC
exist=2203
fnof=0192
forall=2200
frac12=00BD
frac14=00BC
frac34=00BE
frasl=2044
Gamma=0393
harr=2194
hearts=2665
hellip=2026
Iacute=00CD
icirc=00EE
iexcl=00A1
igrave=00EC
image=2111
infin=221E
int=222B
iota=03B9
iquest=00BF
isin=2208
iuml=00EF
Kappa=039A
lambda=03BB
laquo=00AB
lArr=21D0
lceil=2308
ldquo=201C
lfloor=230A
lowast=2217
loz=25CA
lrm=200E
lsaquo=2039
lsquo=2018
lt=003C
macr=00AF
mdash=2014
micro=00B5
middot=00B7
minus=2212
Mu=039C
nabla=2207
nbsp=00A0
ndash=2013
ne=2260
ni=220B
not=00AC
notin=2209
nsub=2284
Ntilde=00D1
Nu=039D
Oacute=00D3
ocirc=00F4
oelig=0153
ograve=00F2
oline=203E
Omega=03A9
Omicron=039F
oplus=2295
or=2228
ordf=00AA
ordm=00BA
Oslash=00D8
otilde=00F5
otimes=2297
Ouml=00D6
para=00B6
part=2202
permil=2030
perp=22A5
phi=03C6
pi=03C0
piv=03D6
plusmn=00B1
pound=00A3
prime=2032
prod=220F
prop=221D
Psi=03A8
radic=221A
raquo=00BB
rceil=2309
rdquo=201D
real=211C
rfloor=230B
Rho=03A1
rlm=200F
rsaquo=203A
rsquo=2019
sbquo=201A
Scaron=0160
sdot=22C5
sect=00A7
shy=00AD
Sigma=03A3
sigmaf=03C2
sim=223C
spades=2660
sub=2282
sube=2286
sum=2211
sup1=00B9
sup2=00B2
sup3=00B3
supe=2287
szlig=00DF
tau=03C4
there4=2234
theta=03B8
thetasym=03D1
thinsp=2009
THORN=00DE
times=00D7
uacute=00FA
uarr=2191
Ucirc=00DB
Ugrave=00D9
uml=00A8
upsih=03D2
Upsilon=03A5
Uuml=00DC
weierp=2118
xi=03BE
yacute=00FD
yen=00A5
yuml=00FF
zeta=03B6
zwj=200D
zwnj=200C
