4E1F=4E22
4E26=5E76
4E82=4E71
4E99=4E98
4E9E=4E9A
4F0B=6C72
4F15=592B
4F47=4F2B
4F48=5E03
4F54=5360
4F6A=5F8A
4F75=5E76
4F86=6765
4F96=4ED1
4FB6=4FA3
4FB7=5C40
4FC1=4FE3
4FC2=7CFB
4FE0=4FA0
5000=4F25
5006=4FE9
5009=4ED3
500B=4E2A
5011=4EEC
5016=5E78
5023=4EFF
502B=4F26
5049=4F1F
5074=4FA7
5075=4FA6
507A=54B1
507D=4F2A
5091=6770
5096=4F27
5098=4F1E
5099=5907
50A2=5BB6
50AD=4F63
50AF=506C
50B3=4F20
50B4=4F1B
50B5=503A
50B7=4F24
50BE=503E
50C2=507B
50C5=4EC5
50C7=622E
50C9=4F65
50D1=4FA8
50D5=4EC6
50E5=4FA5
50E8=507E
50F1=96C7
50F9=4EF7
5100=4EEA
5102=4FAC
5104=4EBF
5105=5F53
5108=4FA9
5109=4FED
5110=50A7
5114=4FE6
5115=4FAA
5118=5C3D
511F=507F
512A=4F18
5132=50A8
5137=4FEA
5138=7F57
513A=50A9
513B=50A5
513C=4FE8
5147=51F6
514C=5151
5152=513F
5157=5156
5167=5185
5169=4E24
518A=518C
5191=80C4
51AA=5E42
51C8=51C0
51CD=51BB
51DC=51DB
51F1=51EF
5225=522B
522A=5220
5244=522D
5247=5219
524B=514B
524E=5239
525B=521A
525D=5265
526E=5250
5274=5240
5275=521B
5277=94F2
5283=5212
5287=5267
5289=5218
528A=523D
528C=523F
528D=5251
5291=5242
52BB=5321
52C1=52B2
52D5=52A8
52D7=52D6
52D9=52A1
52DB=52CB
52DD=80DC
52DE=52B3
52E2=52BF
52E3=79EF
52E6=527F
52F1=52A2
52F5=52B1
52F8=529D
52FB=5300
532D=5326
532F=6C47
5331=532E
5340=533A
5354=534F
5379=6064
537B=5374
5399=538D
53AD=538C
53B2=5389
53B4=53A3
53C3=53C2
53E2=4E1B
540B=5BF8
5433=5434
5436=5450
5442=5415
544E=5C3A
54BC=5459
54E1=5458
5504=5457
5538=5FF5
554F=95EE
555E=54D1
555F=542F
5563=8854
559A=5524
55AA=4E27
55AB=5403
55AC=4E54
55AE=5355
55B2=54DF
55C6=545B
55C7=556C
55CE=5417
55DA=545C
55E9=5522
55F6=54D4
5606=53F9
560D=55BD
5614=5455
5616=5567
5617=5C1D
561C=551B
5629=54D7
562E=5520
562F=5578
5630=53FD
5635=54D3
5638=5452
5641=6076
5653=5618
5660=54D2
5665=54DD
5666=54D5
566F=55F3
5672=54D9
5674=55B7
5678=5428
5679=5F53
5680=549B
5687=5413
568C=54DC
5695=565C
5699=556E
56A5=54BD
56A6=5456
56A8=5499
56AE=5411
56B3=55BE
56B4=4E25
56B6=5624
56C0=556D
56C1=55EB
56C2=56A3
56C5=5181
56C8=5453
56C9=7F57
56CC=82CF
56D1=5631
56EA=56F1
5707=56F5
570B=56FD
570D=56F4
5712=56ED
5713=5706
5716=56FE
5718=56E2
5770=57A7
57E1=57AD
57F7=6267
5805=575A
580A=57A9
581D=57DA
582F=5C27
5831=62A5
5834=573A
583F=78B1
584A=5757
584B=8314
584F=57B2
5852=57D8
5857=6D82
5862=575E
5864=57D9
5875=5C18
5879=5811
588A=57AB
5891=5892
589C=5760
58AE=5815
58B3=575F
58BB=5899
58BE=57A6
58C7=575B
58CE=57D9
58D3=538B
58D8=5792
58D9=5739
58DA=5786
58DE=574F
58DF=5784
58E2=575C
58E9=575D
58EF=58EE
58FA=58F6
58FD=5BFF
5920=591F
5922=68A6
593E=5939
5950=5942
5967=5965
5969=5941
596A=593A
596E=594B
599D=5986
59B3=4F60
59CD=59D7
59E6=5978
59EA=4F84
5A1B=5A31
5A41=5A04
5A66=5987
5A6D=5A05
5AA7=5A32
5AAF=59AB
5ABC=5AAA
5ABD=5988
5AD7=59AA
5AF5=59A9
5AFB=5A34
5B08=5A06
5B0B=5A75
5B0C=5A07
5B19=5AF1
5B1D=8885
5B21=5AD2
5B24=5B37
5B2A=5AD4
5B30=5A74
5B38=5A76
5B43=5A18
5B4C=5A08
5B6B=5B59
5B78=5B66
5B7F=5B6A
5BAE=5BAB
5BE2=5BDD
5BE6=5B9E
5BE7=5B81
5BE9=5BA1
5BEB=5199
5BEC=5BBD
5BF5=5BA0
5BF6=5B9D
5C07=5C06
5C08=4E13
5C0B=5BFB
5C0D=5BF9
5C0E=5BFC
5C37=5C34
5C46=5C4A
5C5C=5C49
5C5D=6249
5C62=5C61
5C64=5C42
5C68=5C66
5C6C=5C5E
5CA1=5188
5CA7=8FE2
5CF4=5C98
5CF6=5C9B
5CFD=5CE1
5D0D=5D03
5D17=5C97
5D19=4ED1
5D20=5CBD
5D22=5CE5
5D33=5D5B
5D50=5C9A
5D52=5CA9
5D81=5D5D
5D84=5D2D
5D87=5C96
5D97=5D02
5DA0=5CE4
5DA7=5CC4
5DB8=5D58
5DBA=5CAD
5DBC=5C7F
5DBD=5CB3
5DCB=5CBF
5DD1=6F13
5DD2=5CE6
5DD4=5DC5
5DD6=5CA9
5DF0=5DEF
5DF9=537A
5E25=5E05
5E2B=5E08
5E33=5E10
5E36=5E26
5E40=5E27
5E43=5E0F
5E57=5E3C
5E58=5E3B
5E5F=5E1C
5E63=5E01
5E6B=5E2E
5E6C=5E31
5E79=5E72
5E7E=51E0
5E82=4EC4
5EAB=5E93
5EC1=5395
5EC2=53A2
5EC4=53A9
5EC8=53A6
5EDA=53A8
5EDD=53AE
5EDF=5E99
5EE0=5382
5EE1=5E91
5EE2=5E9F
5EE3=5E7F
5EE9=5EEA
5EEC=5E90
5EF1=75C8
5EF3=5385
5F12=5F11
5F14=540A
5F33=5F2A
5F35=5F20
5F37=5F3A
5F46=522B
5F48=5F39
5F4A=5F3A
5F4C=5F25
5F4E=5F2F
5F59=6C47
5F65=5F66
5F6B=96D5
5F7F=4F5B
5F91=5F84
5F9E=4ECE
5FA0=5F95
5FA9=590D
5FAC=65C1
5FB9=5F7B
6046=6052
6065=803B
6085=60A6
60B5=6005
60B6=95F7
60BD=51C4
60E1=6076
60F1=607C
60F2=607D
60FB=607B
611B=7231
611C=60EC
6128=60AB
6134=6006
6137=607A
613E=5FFE
6144=6817
6147=6BB7
614B=6001
614D=6120
6158=60E8
615A=60ED
615F=6078
6163=60EF
616A=6004
616B=6002
616E=8651
6173=60AD
6176=5E86
617C=621A
6182=5FE7
618A=60EB
6190=601C
6191=51ED
6192=6126
619A=60EE
61A4=6124
61AB=60AF
61AE=6003
61B2=5BAA
61B6=5FC6
61C7=6073
61C9=5E94
61CC=603F
61CD=6AA9
61DE=8499
61DF=603C
61E3=61D1
61E8=6079
61F2=60E9
61F6=61D2
61F7=6000
61F8=60AC
61FA=5FCF
61FC=60E7
61FE=6151
6200=604B
6207=6206
6209=94BA
6214=620B
6227=6217
6229=622C
6230=6218
6232=620F
6236=6237
6250=4EC2
6260=53C9
6262=6266
627A=62B5
6283=62DA
6286=64E6
628E=6B92
62B4=66F3
62CB=629B
6336=5C40
633E=631F
634D=625E
6368=820D
636B=626A
6372=5377
6383=626B
6384=62A1
6399=6323
639B=6302
63A1=91C7
63C0=62E3
63DA=626C
